custid,firstname,lastname,email,custno,custjoining,custzip,,
1,tyesha,freitag,tyeshafreitag,1784910064,2/26/13,46815,,9122709406
2,dean,stoecker,deanstoecker,2578000162,8/3/20,50709,,"INSERT into customer values (2,dean,stoecker,deanstoecker,2578000162,44046,50709"
3,annelle,pickney,annellepickney,2678328803,4/5/09,40882,,"INSERT into customer values (3,annelle,pickney,annellepickney,2678328803,39908,40882"
4,margareta,tacy,margaretatacy,9163711253,9/20/19,37442,,"INSERT into customer values (4,margareta,tacy,margaretatacy,9163711253,43728,37442"
5,meghann,placencia,meghannplacencia,8364199908,4/25/11,30535,,"INSERT into customer values (5,meghann,placencia,meghannplacencia,8364199908,40658,30535"
6,kendrick,cieslak,kendrickcieslak,1965718728,8/4/19,17556,,"INSERT into customer values (6,kendrick,cieslak,kendrickcieslak,1965718728,43681,17556"
7,polly,isenberg,pollyisenberg,4909690118,7/21/14,68564,,"INSERT into customer values (7,polly,isenberg,pollyisenberg,4909690118,41841,68564"
8,evelyne,racicot,evelyneracicot,2570002282,8/4/03,35163,,"INSERT into customer values (8,evelyne,racicot,evelyneracicot,2570002282,37837,35163"
9,augustus,delaune,augustusdelaune,8100778634,3/18/18,27211,,"INSERT into customer values (9,augustus,delaune,augustusdelaune,8100778634,43177,27211"
10,shawanda,client,shawandaclient,7539425666,7/30/10,85043,,"INSERT into customer values (10,shawanda,client,shawandaclient,7539425666,40389,85043"
11,loura,coffield,louracoffield,9423398417,1/16/15,21206,,"INSERT into customer values (11,loura,coffield,louracoffield,9423398417,42020,21206"
12,lorriane,machin,lorrianemachin,9122709406,6/19/06,84011,,"INSERT into customer values (12,lorriane,machin,lorrianemachin,9122709406,38887,84011"
13,lacey,osier,laceyosier,9271011052,9/16/00,61334,,"INSERT into customer values (13,lacey,osier,laceyosier,9271011052,36785,61334"
14,nicki,malchow,nickimalchow,6493369791,7/2/07,14717,,"INSERT into customer values (14,nicki,malchow,nickimalchow,6493369791,39265,14717"
15,sidney,bodiford,sidneybodiford,1754940481,11/9/18,86405,,"INSERT into customer values (15,sidney,bodiford,sidneybodiford,1754940481,43413,86405"
16,barbie,cun,barbiecun,1588728683,8/5/04,44031,,"INSERT into customer values (16,barbie,cun,barbiecun,1588728683,38204,44031"
17,elden,hanshaw,eldenhanshaw,7635154228,2/5/01,31993,,"INSERT into customer values (17,elden,hanshaw,eldenhanshaw,7635154228,36927,31993"
18,blossom,loggins,blossomloggins,6589953360,9/11/02,62187,,"INSERT into customer values (18,blossom,loggins,blossomloggins,6589953360,37510,62187"
19,joseph,dennie,josephdennie,1105114984,1/14/15,19777,,"INSERT into customer values (19,joseph,dennie,josephdennie,1105114984,42018,19777"
20,pattie,markley,pattiemarkley,9861162526,7/6/12,36076,,"INSERT into customer values (20,pattie,markley,pattiemarkley,9861162526,41096,36076"
21,genevieve,spahn,genevievespahn,5922908995,2/14/20,38772,,"INSERT into customer values (21,genevieve,spahn,genevievespahn,5922908995,43875,38772"
22,luciano,jaworski,lucianojaworski,3596467226,3/4/19,16986,,"INSERT into customer values (22,luciano,jaworski,lucianojaworski,3596467226,43528,16986"
23,noe,mahler,noemahler,2004569133,2/9/13,84120,,"INSERT into customer values (23,noe,mahler,noemahler,2004569133,41314,84120"
24,karri,bransford,karribransford,5922567162,12/3/18,59409,,"INSERT into customer values (24,karri,bransford,karribransford,5922567162,43437,59409"
25,larae,bonney,laraebonney,1309152266,6/11/17,94888,,"INSERT into customer values (25,larae,bonney,laraebonney,1309152266,42897,94888"
26,sharita,fierros,sharitafierros,7119638757,2/17/06,90257,,"INSERT into customer values (26,sharita,fierros,sharitafierros,7119638757,38765,90257"
27,frederica,perla,fredericaperla,3012597916,8/21/05,97673,,"INSERT into customer values (27,frederica,perla,fredericaperla,3012597916,38585,97673"
28,mara,elder,maraelder,8345908329,1/21/08,60941,,"INSERT into customer values (28,mara,elder,maraelder,8345908329,39468,60941"
29,enola,volz,enolavolz,7144528062,2/17/07,10051,,"INSERT into customer values (29,enola,volz,enolavolz,7144528062,39130,10051"
30,leslie,mccardell,lesliemccardell,5710300868,4/6/20,14145,,"INSERT into customer values (30,leslie,mccardell,lesliemccardell,5710300868,43927,14145"
31,gina,coria,ginacoria,7560238869,11/23/08,74245,,"INSERT into customer values (31,gina,coria,ginacoria,7560238869,39775,74245"
32,marietta,taing,mariettataing,8963534218,3/27/03,76791,,"INSERT into customer values (32,marietta,taing,mariettataing,8963534218,37707,76791"
33,karlyn,buchholtz,karlynbuchholtz,3898728456,6/5/14,41049,,"INSERT into customer values (33,karlyn,buchholtz,karlynbuchholtz,3898728456,41795,41049"
34,herma,renken,hermarenken,1181317267,11/3/16,64042,,"INSERT into customer values (34,herma,renken,hermarenken,1181317267,42677,64042"
35,gertrud,gillispie,gertrudgillispie,1324713711,3/21/14,36002,,"INSERT into customer values (35,gertrud,gillispie,gertrudgillispie,1324713711,41719,36002"
36,kelsie,lavoie,kelsielavoie,3497699556,2/12/02,45946,,"INSERT into customer values (36,kelsie,lavoie,kelsielavoie,3497699556,37299,45946"
37,selena,jenney,selenajenney,1972814279,10/26/12,97285,,"INSERT into customer values (37,selena,jenney,selenajenney,1972814279,41208,97285"
38,teri,schooley,terischooley,3003749680,8/20/16,73301,,"INSERT into customer values (38,teri,schooley,terischooley,3003749680,42602,73301"
39,lizette,campana,lizettecampana,4656217792,4/6/20,71112,,"INSERT into customer values (39,lizette,campana,lizettecampana,4656217792,43927,71112"
40,mayra,luby,mayraluby,5135066791,9/9/01,36322,,"INSERT into customer values (40,mayra,luby,mayraluby,5135066791,37143,36322"
41,luisa,finneran,luisafinneran,7978845696,7/5/03,48400,,"INSERT into customer values (41,luisa,finneran,luisafinneran,7978845696,37807,48400"
42,genoveva,herrod,genovevaherrod,4617838141,2/1/00,77776,,"INSERT into customer values (42,genoveva,herrod,genovevaherrod,4617838141,36557,77776"
43,tandra,toon,tandratoon,5081582693,4/26/07,22080,,"INSERT into customer values (43,tandra,toon,tandratoon,5081582693,39198,22080"
44,zoe,mangrum,zoemangrum,9432367385,11/7/17,57666,,"INSERT into customer values (44,zoe,mangrum,zoemangrum,9432367385,43046,57666"
45,marquerite,salaam,marqueritesalaam,8861602378,4/3/08,26213,,"INSERT into customer values (45,marquerite,salaam,marqueritesalaam,8861602378,39541,26213"
46,alva,fonte,alvafonte,9777554673,1/21/12,91535,,"INSERT into customer values (46,alva,fonte,alvafonte,9777554673,40929,91535"
47,maudie,cage,maudiecage,8261624741,10/19/16,80028,,"INSERT into customer values (47,maudie,cage,maudiecage,8261624741,42662,80028"
48,hilde,greaves,hildegreaves,2928508416,12/6/06,89358,,"INSERT into customer values (48,hilde,greaves,hildegreaves,2928508416,39057,89358"
49,christiana,rippe,christianarippe,8570381741,6/7/03,62453,,"INSERT into customer values (49,christiana,rippe,christianarippe,8570381741,37779,62453"
50,bulah,warr,bulahwarr,3203115391,2/2/13,61480,,"INSERT into customer values (50,bulah,warr,bulahwarr,3203115391,41307,61480"
51,azzie,stolte,azziestolte,6097656788,9/11/11,72824,,"INSERT into customer values (51,azzie,stolte,azziestolte,6097656788,40797,72824"
52,sharri,whistler,sharriwhistler,5368526928,6/10/10,31265,,"INSERT into customer values (52,sharri,whistler,sharriwhistler,5368526928,40339,31265"
53,rebecka,holliman,rebeckaholliman,7080686183,7/26/18,18637,,"INSERT into customer values (53,rebecka,holliman,rebeckaholliman,7080686183,43307,18637"
54,bryce,muse,brycemuse,4086337053,6/6/09,74909,,"INSERT into customer values (54,bryce,muse,brycemuse,4086337053,39970,74909"
55,merideth,marcus,meridethmarcus,5849254394,6/14/20,83861,,"INSERT into customer values (55,merideth,marcus,meridethmarcus,5849254394,43996,83861"
56,nova,boden,novaboden,9230267873,3/7/08,60931,,"INSERT into customer values (56,nova,boden,novaboden,9230267873,39514,60931"
57,granville,watchman,granvillewatchman,9099221712,2/12/03,20292,,"INSERT into customer values (57,granville,watchman,granvillewatchman,9099221712,37664,20292"
58,marquerite,dearborn,marqueritedearborn,3973863623,2/19/10,59087,,"INSERT into customer values (58,marquerite,dearborn,marqueritedearborn,3973863623,40228,59087"
59,arielle,ketcham,arielleketcham,5989448169,12/13/00,74733,,"INSERT into customer values (59,arielle,ketcham,arielleketcham,5989448169,36873,74733"
60,shona,buggs,shonabuggs,3870533086,10/31/14,54964,,"INSERT into customer values (60,shona,buggs,shonabuggs,3870533086,41943,54964"
61,aleta,ciesla,aletaciesla,7890121350,9/18/11,20318,,"INSERT into customer values (61,aleta,ciesla,aletaciesla,7890121350,40804,20318"
62,jenni,wichman,jenniwichman,5493849316,6/24/12,70722,,"INSERT into customer values (62,jenni,wichman,jenniwichman,5493849316,41084,70722"
63,cuc,phinney,cucphinney,4034485220,11/2/17,94265,,"INSERT into customer values (63,cuc,phinney,cucphinney,4034485220,43041,94265"
64,danica,fleig,danicafleig,2407424721,10/7/09,65882,,"INSERT into customer values (64,danica,fleig,danicafleig,2407424721,40093,65882"
65,shaquana,emigh,shaquanaemigh,7336705261,11/21/18,23176,,"INSERT into customer values (65,shaquana,emigh,shaquanaemigh,7336705261,43425,23176"
66,brinda,master,brindamaster,7063506366,4/30/13,40005,,"INSERT into customer values (66,brinda,master,brindamaster,7063506366,41394,40005"
67,janell,hinojos,janellhinojos,5725856292,5/13/09,17513,,"INSERT into customer values (67,janell,hinojos,janellhinojos,5725856292,39946,17513"
68,karri,celestin,karricelestin,4913668828,11/16/19,54153,,"INSERT into customer values (68,karri,celestin,karricelestin,4913668828,43785,54153"
69,enid,bouley,enidbouley,7652588054,10/8/08,26842,,"INSERT into customer values (69,enid,bouley,enidbouley,7652588054,39729,26842"
